# [variable_independiente] [variable_dependiente] [derivada_variable_dependiente]
-7.0000000000e-01 -1.1273206581e-01 -7.6711980234e+00
-6.9726027397e-01 -1.5088097803e-01 -7.6108796452e+00
-6.9452054795e-01 -1.6454882691e-01 -7.5218466908e+00
-6.9178082192e-01 -1.9131973466e-01 -7.4050657238e+00
-6.8904109589e-01 -2.1512430736e-01 -7.2615716188e+00
-6.8630136986e-01 -2.3077716242e-01 -7.0924611043e+00
-6.8356164384e-01 -2.3439821820e-01 -6.8988864173e+00
-6.8082191781e-01 -2.4784522200e-01 -6.6820490848e+00
-6.7808219178e-01 -2.8332231852e-01 -6.4431938427e+00
-6.7534246575e-01 -3.0129433066e-01 -6.1836027061e+00
-6.7260273973e-01 -3.1412046360e-01 -5.9045891972e+00
-6.6986301370e-01 -3.3118278833e-01 -5.6074927438e+00
-6.6712328767e-01 -3.4045113698e-01 -5.2936732528e+00
-6.6438356164e-01 -3.6672769927e-01 -4.9645058676e+00
-6.6164383562e-01 -3.6808054980e-01 -4.6213759154e+00
-6.5890410959e-01 -3.8584390871e-01 -4.2656740480e+00
-6.5616438356e-01 -3.8098047370e-01 -3.8987915823e+00
-6.5342465753e-01 -4.0373209211e-01 -3.5221160423e+00
-6.5068493151e-01 -3.9377637422e-01 -3.1370269066e+00
-6.4794520548e-01 -4.2620130579e-01 -2.7448915626e+00
-6.4520547945e-01 -4.2708145198e-01 -2.3470614689e+00
-6.4246575342e-01 -4.3452299291e-01 -1.9448685272e+00
-6.3972602740e-01 -4.2816430972e-01 -1.5396216632e+00
-6.3698630137e-01 -4.4943638208e-01 -1.1326036156e+00
-6.3424657534e-01 -4.2979957661e-01 -7.2506793418e-01
-6.3150684932e-01 -4.2523304621e-01 -3.1823618300e-01
-6.2876712329e-01 -4.4320762957e-01 8.6704651100e-02
-6.2602739726e-01 -4.3993022335e-01 4.8860454822e-01
-6.2328767123e-01 -4.3752568272e-01 8.8635264550e-01
-6.2054794521e-01 -4.4699010120e-01 1.2788792309e+00
-6.1780821918e-01 -4.5059698185e-01 1.6651575441e+00
-6.1506849315e-01 -4.3534647512e-01 2.0442053875e+00
-6.1232876712e-01 -4.2657082178e-01 2.4150865532e+00
-6.0958904110e-01 -4.1147467443e-01 2.7769120676e+00
-6.0684931507e-01 -4.0659390208e-01 3.1288412604e+00
-6.0410958904e-01 -3.7610412692e-01 3.4700826612e+00
-6.0136986301e-01 -3.9811561567e-01 3.7998947298e+00
-5.9863013699e-01 -3.8680966762e-01 4.1175864240e+00
-5.9589041096e-01 -3.8249149267e-01 4.4225176112e+00
-5.9315068493e-01 -3.6894019119e-01 4.7140993286e+00
-5.9041095890e-01 -3.4016880859e-01 4.9917938975e+00
-5.8767123288e-01 -3.2159258911e-01 5.2551148975e+00
-5.8493150685e-01 -3.2162595584e-01 5.5036270054e+00
-5.8219178082e-01 -2.9684341373e-01 5.7369457064e+00
-5.7945205479e-01 -2.6486510045e-01 5.9547368809e+00
-5.7671232877e-01 -2.6533011867e-01 6.1567162744e+00
-5.7397260274e-01 -2.4684251414e-01 6.3426488556e+00
-5.7123287671e-01 -2.4052020026e-01 6.5123480688e+00
-5.6849315068e-01 -2.2454364451e-01 6.6656749859e+00
-5.6575342466e-01 -1.7886882502e-01 6.8025373648e+00
-5.6301369863e-01 -2.1005209507e-01 6.9228886181e+00
-5.6027397260e-01 -1.5405528601e-01 7.0267267002e+00
-5.5753424658e-01 -1.2653440005e-01 7.1140929166e+00
-5.5479452055e-01 -1.0378588097e-01 7.1850706610e+00
-5.5205479452e-01 -8.5493167725e-02 7.2397840878e+00
-5.4931506849e-01 -6.3540893361e-02 7.2783967225e+00
-5.4657534247e-01 -5.8412031601e-02 7.3011100178e+00
-5.4383561644e-01 -3.7191693728e-02 7.3081618591e+00
-5.4109589041e-01 -1.7886353007e-02 7.2998250258e+00
-5.3835616438e-01 5.2070994331e-03 7.2764056125e+00
-5.3561643836e-01 -9.1369804120e-04 7.2382414154e+00
-5.3287671233e-01 2.0589467078e-02 7.1857002889e+00
-5.3013698630e-01 5.9714992101e-02 7.1191784773e+00
-5.2739726027e-01 9.1518067513e-02 7.0390989259e+00
-5.2465753425e-01 1.0532363247e-01 6.9459095754e+00
-5.2191780822e-01 1.3412403714e-01 6.8400816456e+00
-5.1917808219e-01 1.2473623099e-01 6.7221079110e+00
-5.1643835616e-01 1.4671819262e-01 6.5925009735e+00
-5.1369863014e-01 1.8433857803e-01 6.4517915351e+00
-5.1095890411e-01 1.9440687385e-01 6.3005266756e+00
-5.0821917808e-01 2.1026553998e-01 6.1392681382e+00
-5.0547945205e-01 2.1416801033e-01 5.9685906264e+00
-5.0273972603e-01 2.5597324392e-01 5.7890801164e+00
-5.0000000000e-01 2.6297560838e-01 5.6013321877e+00
-4.9726027397e-01 2.6207031165e-01 5.4059503744e+00
-4.9452054795e-01 3.0405154520e-01 5.2035445417e+00
-4.9178082192e-01 2.9346884318e-01 4.9947292888e+00
-4.8904109589e-01 3.0822694753e-01 4.7801223821e+00
-4.8630136986e-01 3.2851098194e-01 4.5603432201e+00
-4.8356164384e-01 3.3572022921e-01 4.3360113332e+00
-4.8082191781e-01 3.4473340282e-01 4.1077449206e+00
-4.7808219178e-01 3.6517716748e-01 3.8761594258e+00
-4.7534246575e-01 3.5744027567e-01 3.6418661531e+00
-4.7260273973e-01 3.8499047134e-01 3.4054709267e+00
-4.6986301370e-01 3.8492002363e-01 3.1675727943e+00
-4.6712328767e-01 3.8951762557e-01 2.9287627762e+00
-4.6438356164e-01 4.1556670017e-01 2.6896226625e+00
-4.6164383562e-01 4.1470445839e-01 2.4507238574e+00
-4.5890410959e-01 4.0361396240e-01 2.2126262745e+00
-4.5616438356e-01 4.2381366547e-01 1.9758772822e+00
-4.5342465753e-01 4.3396155798e-01 1.7410107000e+00
-4.5068493151e-01 4.2204965491e-01 1.5085458482e+00
-4.4794520548e-01 4.3926652012e-01 1.2789866497e+00
-4.4520547945e-01 4.3304981145e-01 1.0528207851e+00
-4.4246575342e-01 4.4833268574e-01 8.3051890205e-01
-4.3972602740e-01 4.3074606959e-01 6.1253387839e-01
-4.3698630137e-01 4.4946396266e-01 3.9930013951e-01
-4.3424657534e-01 4.6516029729e-01 1.9123302999e-01
-4.3150684932e-01 4.3736448678e-01 -1.1271760398e-02
-4.2876712329e-01 4.4355973252e-01 -2.0783871674e-01
